id,cd,baseprice,basenum,contprice,dealnum,trans-amount,orderdate,jsd
34577,1,4550,20,4550,20,91000,2018/11/23,中海油宁波江浙沪皖
34578,3,4800,1100,4800,1100,5280000,2018/11/23,珠三角地区
34579,3,4800,11500,4800,11500,55200000,2018/11/23,珠三角地区
34580,3,4800,600,4800,600,2880000,2018/11/23,珠三角地区
34581,3,4800,1100,4800,1100,5280000,2018/11/23,珠三角地区
34343,1,4550,20,4550,20,91000,2018/11/21,中海油宁波江浙沪皖
34159,1,4550,20,4550,20,91000,2018/11/19,中海油宁波江浙沪皖
34160,2,5034,136,5034,136,684624,2018/11/19,北方
34161,2,5034,108,5034,108,543672,2018/11/19,北方
34162,2,5034,70,5034,70,352380,2018/11/19,北方
34163,2,5034,100,5034,100,503400,2018/11/19,北方
34164,2,5034,68,5034,68,342312,2018/11/19,北方
34165,2,5034,10,5034,10,50340,2018/11/19,北方
34166,2,5034,10,5034,10,50340,2018/11/19,北方
34167,2,5034,60,5034,60,302040,2018/11/19,北方
34168,2,5034,50,5034,50,251700,2018/11/19,北方
34169,2,5034,200,5034,200,1006800,2018/11/19,北方
34170,2,5034,47,5034,47,236598,2018/11/19,北方
34171,2,5034,88,5034,88,442992,2018/11/19,北方
34172,2,5034,400,5034,400,2013600,2018/11/19,北方
34173,2,5034,35,5034,35,176190,2018/11/19,北方
34174,2,5034,10,5034,10,50340,2018/11/19,北方
34175,2,5034,88,5034,88,442992,2018/11/19,北方
34176,2,5034,338,5034,338,1701492,2018/11/19,北方
34177,2,5034,80,5034,80,402720,2018/11/19,北方
34178,2,5034,379,5034,379,1907886,2018/11/19,北方
34179,2,5034,10,5034,10,50340,2018/11/19,北方
34005,3,4800,240,4800,240,1152000,2018/11/16,珠三角地区
34006,3,4800,1000,4800,1000,4800000,2018/11/16,珠三角地区
34007,3,4800,1000,4800,1000,4800000,2018/11/16,珠三角地区
34008,3,4800,10300,4800,10300,49440000,2018/11/16,珠三角地区
34009,1,4550,20,4550,20,91000,2018/11/16,中海油宁波江浙沪皖
33852,1,4550,20,4550,20,91000,2018/11/15,中海油宁波江浙沪皖
33853,1,5166,500,5166,500,2583000,2018/11/15,东部
33854,1,5166,132,5166,132,681912,2018/11/15,东部
33855,1,5166,406,5166,406,2097396,2018/11/15,东部
33856,1,5166,250,5166,250,1291500,2018/11/15,东部
33857,1,5166,48,5166,48,247968,2018/11/15,东部
33858,1,5166,102,5166,102,526932,2018/11/15,东部
33859,1,5166,175,5166,175,904050,2018/11/15,东部
33860,1,5166,203,5166,203,1048698,2018/11/15,东部
33861,1,5166,200,5166,200,1033200,2018/11/15,东部
33862,1,5166,200,5166,200,1033200,2018/11/15,东部
33863,1,5166,380,5166,380,1963080,2018/11/15,东部
33864,1,5166,10,5166,10,51660,2018/11/15,东部
33865,1,5166,135,5166,135,697410,2018/11/15,东部
33866,1,5166,400,5166,400,2066400,2018/11/15,东部
33867,1,5166,28,5166,28,144648,2018/11/15,东部
33868,1,5166,57,5166,57,294462,2018/11/15,东部
33869,1,5166,95,5166,95,490770,2018/11/15,东部
33870,1,5166,235,5166,235,1214010,2018/11/15,东部
33871,1,5166,210,5166,210,1084860,2018/11/15,东部
33872,1,5166,230,5166,230,1188180,2018/11/15,东部
33873,1,5166,138,5166,138,712908,2018/11/15,东部
33874,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33875,1,5166,339,5166,339,1751274,2018/11/15,东部
33876,1,5166,200,5166,200,1033200,2018/11/15,东部
33877,1,5166,260,5166,260,1343160,2018/11/15,东部
33878,1,5166,951,5166,951,4912866,2018/11/15,东部
33879,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33880,1,5166,284,5166,284,1467144,2018/11/15,东部
33881,1,5166,500,5166,500,2583000,2018/11/15,东部
33882,1,5166,205,5166,205,1059030,2018/11/15,东部
33883,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33884,1,5166,100,5166,100,516600,2018/11/15,东部
33885,1,5166,20,5166,20,103320,2018/11/15,东部
33886,1,5166,332,5166,332,1715112,2018/11/15,东部
33887,1,5166,41,5166,41,211806,2018/11/15,东部
33888,1,5166,500,5166,500,2583000,2018/11/15,东部
33889,1,5166,284,5166,284,1467144,2018/11/15,东部
33890,1,5166,324,5166,324,1673784,2018/11/15,东部
33891,1,5166,500,5166,500,2583000,2018/11/15,东部
33892,1,5166,300,5166,300,1549800,2018/11/15,东部
33893,1,5166,500,5166,500,2583000,2018/11/15,东部
33894,1,5166,340,5166,340,1756440,2018/11/15,东部
33895,1,5166,400,5166,400,2066400,2018/11/15,东部
33896,1,5166,49,5166,49,253134,2018/11/15,东部
33897,1,5166,400,5166,400,2066400,2018/11/15,东部
33898,1,5166,200,5166,200,1033200,2018/11/15,东部
33899,1,5166,500,5166,500,2583000,2018/11/15,东部
33900,1,5166,500,5166,500,2583000,2018/11/15,东部
33901,1,5166,380,5166,380,1963080,2018/11/15,东部
33902,1,5166,200,5166,200,1033200,2018/11/15,东部
33903,1,5166,68,5166,68,351288,2018/11/15,东部
33904,1,5166,300,5166,300,1549800,2018/11/15,东部
33905,1,5166,200,5166,200,1033200,2018/11/15,东部
33906,1,5166,203,5166,203,1048698,2018/11/15,东部
33907,1,5166,10,5166,10,51660,2018/11/15,东部
33908,1,5166,150,5166,150,774900,2018/11/15,东部
33909,1,5166,500,5166,500,2583000,2018/11/15,东部
33910,1,5166,650,5166,650,3357900,2018/11/15,东部
33911,1,5166,133,5166,133,687078,2018/11/15,东部
33912,1,5166,20,5166,20,103320,2018/11/15,东部
33913,1,5166,370,5166,370,1911420,2018/11/15,东部
33914,1,5166,500,5166,500,2583000,2018/11/15,东部
33915,1,5166,400,5166,400,2066400,2018/11/15,东部
33916,1,5166,45,5166,45,232470,2018/11/15,东部
33917,1,5166,230,5166,230,1188180,2018/11/15,东部
33918,1,5166,500,5166,500,2583000,2018/11/15,东部
33919,1,5166,169,5166,169,873054,2018/11/15,东部
33920,1,5166,762,5166,762,3936492,2018/11/15,东部
33921,1,5166,51,5166,51,263466,2018/11/15,东部
33922,1,5166,50,5166,50,258300,2018/11/15,东部
33923,1,5166,600,5166,600,3099600,2018/11/15,东部
33924,1,5166,193,5166,193,997038,2018/11/15,东部
33925,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33926,1,5166,500,5166,500,2583000,2018/11/15,东部
33927,1,5166,500,5166,500,2583000,2018/11/15,东部
33928,1,5166,69,5166,69,356454,2018/11/15,东部
33929,1,5166,500,5166,500,2583000,2018/11/15,东部
33930,1,5166,500,5166,500,2583000,2018/11/15,东部
33931,1,5166,136,5166,136,702576,2018/11/15,东部
33932,1,5166,350,5166,350,1808100,2018/11/15,东部
33933,1,5166,20,5166,20,103320,2018/11/15,东部
33934,1,5166,300,5166,300,1549800,2018/11/15,东部
33935,1,5166,25,5166,25,129150,2018/11/15,东部
33936,1,5166,87,5166,87,449442,2018/11/15,东部
33937,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33938,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33939,1,5166,300,5166,300,1549800,2018/11/15,东部
33940,1,5166,100,5166,100,516600,2018/11/15,东部
33941,1,5166,720,5166,720,3719520,2018/11/15,东部
33942,1,5166,340,5166,340,1756440,2018/11/15,东部
33943,1,5166,80,5166,80,413280,2018/11/15,东部
33944,1,5166,216,5166,216,1115856,2018/11/15,东部
33945,1,5166,407,5166,407,2102562,2018/11/15,东部
33946,1,5166,178,5166,178,919548,2018/11/15,东部
33947,1,5166,100,5166,100,516600,2018/11/15,东部
33948,1,5166,500,5166,500,2583000,2018/11/15,东部
33949,1,5166,570,5166,570,2944620,2018/11/15,东部
33950,1,5166,100,5166,100,516600,2018/11/15,东部
33951,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33952,1,5166,1000,5166,1000,5166000,2018/11/15,东部
33953,1,5166,135,5166,135,697410,2018/11/15,东部
33954,1,5166,47,5166,47,242802,2018/11/15,东部
33955,1,5166,500,5166,500,2583000,2018/11/15,东部
33956,1,5166,300,5166,300,1549800,2018/11/15,东部
33957,1,5166,80,5166,80,413280,2018/11/15,东部
33958,1,5166,500,5166,500,2583000,2018/11/15,东部
33959,1,5166,407,5166,407,2102562,2018/11/15,东部
33820,1,4550,20,4550,20,91000,2018/11/14,中海油宁波江浙沪皖
33663,1,4550,20,4550,20,91000,2018/11/13,中海油宁波江浙沪皖
33664,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33665,2,5034,350,5034,350,1761900,2018/11/13,北方
33666,2,5034,280,5034,280,1409520,2018/11/13,北方
33667,2,5034,67,5034,67,337278,2018/11/13,北方
33668,2,5034,130,5034,130,654420,2018/11/13,北方
33669,2,5034,68,5034,68,342312,2018/11/13,北方
33670,2,5034,5,5034,5,25170,2018/11/13,北方
33671,2,5034,30,5034,30,151020,2018/11/13,北方
33672,2,5034,15,5034,15,75510,2018/11/13,北方
33673,2,5034,34,5034,34,171156,2018/11/13,北方
33674,2,5034,880,5034,880,4429920,2018/11/13,北方
33675,2,5034,137,5034,137,689658,2018/11/13,北方
33676,2,5034,100,5034,100,503400,2018/11/13,北方
33677,2,5034,40,5034,40,201360,2018/11/13,北方
33678,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33679,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33680,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33681,2,5034,1500,5034,1500,7551000,2018/11/13,北方
33682,2,5034,55,5034,55,276870,2018/11/13,北方
33683,2,5034,5,5034,5,25170,2018/11/13,北方
33684,2,5034,400,5034,400,2013600,2018/11/13,北方
33685,2,5034,52,5034,52,261768,2018/11/13,北方
33686,2,5034,475,5034,475,2391150,2018/11/13,北方
33687,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33688,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33689,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33690,2,5034,68,5034,68,342312,2018/11/13,北方
33691,2,5034,271,5034,271,1364214,2018/11/13,北方
33692,3,5034,10,5034,10,50340,2018/11/13,南方
33693,3,5034,5,5034,5,25170,2018/11/13,南方
33694,2,5034,10,5034,10,50340,2018/11/13,北方
33695,2,5034,500,5034,500,2517000,2018/11/13,北方
33696,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33697,2,5034,150,5034,150,755100,2018/11/13,北方
33698,2,5034,5,5034,5,25170,2018/11/13,北方
33699,2,5034,5,5034,5,25170,2018/11/13,北方
33700,2,5034,15,5034,15,75510,2018/11/13,北方
33701,2,5034,68,5034,68,342312,2018/11/13,北方
33702,3,5034,310,5034,310,1560540,2018/11/13,南方
33703,3,5034,1200,5034,1200,6040800,2018/11/13,南方
33704,2,5034,5,5034,5,25170,2018/11/13,北方
33705,2,5034,5,5034,5,25170,2018/11/13,北方
33706,2,5034,5,5034,5,25170,2018/11/13,北方
33707,2,5034,5,5034,5,25170,2018/11/13,北方
33708,2,5034,5,5034,5,25170,2018/11/13,北方
33709,2,5034,5,5034,5,25170,2018/11/13,北方
33710,2,5034,500,5034,500,2517000,2018/11/13,北方
33711,2,5034,100,5034,100,503400,2018/11/13,北方
33712,2,5034,200,5034,200,1006800,2018/11/13,北方
33713,2,5034,170,5034,170,855780,2018/11/13,北方
33714,2,5034,5,5034,5,25170,2018/11/13,北方
33715,2,5034,30,5034,30,151020,2018/11/13,北方
33716,2,5034,5,5034,5,25170,2018/11/13,北方
33717,2,5034,5,5034,5,25170,2018/11/13,北方
33718,2,5034,2000,5034,2000,10068000,2018/11/13,北方
33719,2,5034,710,5034,710,3574140,2018/11/13,北方
33720,2,5034,185,5034,185,931290,2018/11/13,北方
33721,3,5034,210,5034,210,1057140,2018/11/13,南方
33722,2,5034,120,5034,120,604080,2018/11/13,北方
